Vegetable,Form,AverageRetailPrice,AverageRetailPriceUnitOfMeasure,PreparationYieldFactor,SizeOfACupEquivalent ,CupEquivalentUnitOfMeasure,AveragePricePerCupEquivalent
Spinach,Canned,1.670872006,per pound,0.65,0.3748,pounds,0.96341412
Spinach,Frozen,2.468972167,per pound,0.776,0.3748,pounds,1.192401331
Sweet potatoes,Fresh,1.164626523,per pound,0.8818,0.4409,pounds,0.582313262
"Tomatoes, grape and cherry",Fresh,4.155557011,per pound,0.91,0.3748,pounds,1.711476867
"Tomatoes, Roma and plum",Fresh,1.235007071,per pound,0.91,0.3748,pounds,0.508640846
"Tomatoes, large round",Fresh,2.142409751,per pound,0.91,0.3748,pounds,0.882356978
Tomatoes,Canned,1.208159726,per pound,1,0.5401,pounds,0.652566384
Turnip greens,Fresh,2.972110955,per pound,0.75,0.3197,pounds,1.266794055
Turnip greens,Canned,1.397443153,per pound,0.65,0.3527,pounds,0.758359332
Turnip greens,Frozen,2.919789615,per pound,0.776,0.3527,pounds,1.327177098
Zucchini,Fresh,1.639076186,per pound,0.7695,0.3968,pounds,0.845273553
